date,portfolio_value
2011-02-28,985270.8987856177
2011-03-01,990180.1890150723
2011-03-02,978373.9127710452
2011-03-03,977564.1197639186
2011-03-04,1008278.5837452486
2011-03-07,996245.4722623234
2011-03-08,984041.6833348958
2011-03-09,982190.6266052331
2011-03-10,976289.7924690666
2011-03-11,939412.6546314768
2011-03-14,947359.4456526852
2011-03-15,942944.2637883164
2011-03-16,945400.0441692437
2011-03-17,912000.6475135154
2011-03-18,934830.5510393329
2011-03-21,942603.6056258064
2011-03-22,966379.1590234485
2011-03-23,966905.8128175146
2011-03-24,968674.392729947
2011-03-25,982384.6858618038
2011-03-28,996376.8313478887
2011-03-29,999764.5856604903
2011-03-30,1013171.4988883337
2011-03-31,1025385.0363313168
2011-04-01,1015642.9265114078
2011-04-04,1017593.010131811
2011-04-05,1022167.2666322705
2011-04-06,1018338.4653095462
2011-04-07,1017790.7657252462
2011-04-08,1010950.0985239797
2011-04-11,1000173.1907399794
2011-04-12,988425.186058119
2011-04-13,992950.6808983437
2011-04-14,998394.4649495503
2011-04-15,1007284.551254286
2011-04-18,1007065.6845747364
2011-04-19,994028.83121369
2011-04-20,1005678.9696563024
2011-04-21,1024750.6439056306
2011-04-25,1033084.9676773701
2011-04-26,1026090.2830989116
2011-04-27,1037747.2546743657
2011-04-28,1038149.7390821012
2011-04-29,1040228.3435795853
2011-05-02,1023934.7956162993
2011-05-03,1006307.8214321119
2011-05-04,983158.9212768303
2011-05-05,971527.9698378041
2011-05-06,969296.1613060759
2011-05-09,982003.5977989322
2011-05-10,994455.5697454107
2011-05-11,1001896.198789836
2011-05-12,988878.4761913867
2011-05-13,991572.6889700181
2011-05-16,957646.5772180613
2011-05-17,940611.7855005981
2011-05-18,946282.5186017912
2011-05-19,961498.5159872272
2011-05-20,975890.7029551829
2011-05-23,961129.9374724345
2011-05-24,946436.3445797727
2011-05-25,953396.9684796296
2011-05-26,961945.8963505647
2011-05-27,971790.7085608699
2011-05-31,968218.4042701992
2011-06-01,985692.6751877235
2011-06-02,940885.731804153
2011-06-03,941087.1118991491
2011-06-06,918573.4092253625
2011-06-07,907175.9884101675
2011-06-08,896960.0744745401
2011-06-09,893408.2078597305
2011-06-10,914231.7152291078
2011-06-13,881404.9583145392
2011-06-14,889421.5383426329
2011-06-15,912434.0461683531
2011-06-16,881316.2182919679
2011-06-17,875729.3599096485
2011-06-20,881494.4233386909
2011-06-21,898936.8584526447
2011-06-22,922807.6195453566
2011-06-23,906666.4041422926
2011-06-24,916250.7517362067
2011-06-27,885624.6651237762
2011-06-28,896269.6138897154
2011-06-29,909736.1006749038
2011-06-30,916416.5724194004
2011-07-01,925787.9657318799
2011-07-05,962855.1916023332
2011-07-06,963956.8193405998
2011-07-07,962263.868017493
2011-07-08,985777.9321815054
2011-07-11,975182.9466426944
2011-07-12,952933.1182555298
2011-07-13,959575.6918180316
2011-07-14,959319.9341452827
2011-07-15,946696.5450062982
2011-07-18,952361.3727212474
2011-07-19,938834.8866832738
2011-07-20,961162.4043424336
2011-07-21,946096.784357443
2011-07-22,967408.3133093654
2011-07-25,958678.2589383916
2011-07-26,940373.6573451493
2011-07-27,930160.7936096865
2011-07-28,917111.7415891376
2011-07-29,914840.2415755533
2011-08-01,914384.0077869674
2011-08-02,906984.346669728
2011-08-03,871785.7243827695
2011-08-04,863247.7428577157
2011-08-05,800902.1727348474
2011-08-08,783753.9296396843
2011-08-09,724050.3173315108
2011-08-10,792472.1817276111
2011-08-11,733532.4297557503
2011-08-12,778927.4144948709
2011-08-15,786420.8590742304
2011-08-16,792758.6665345608
2011-08-17,777296.2785955976
2011-08-18,768706.0478438633
2011-08-19,724261.9839294507
2011-08-22,702660.8870548506
2011-08-23,707220.982789383
2011-08-24,730079.5493310197
2011-08-25,735647.468198331
2011-08-26,728046.8483261112
2011-08-29,747581.9451368152
2011-08-30,785225.5077383018
2011-08-31,778175.4164074786
2011-09-01,778203.4140848543
2011-09-02,769882.2348431315
2011-09-06,752908.5167696192
