date,ticker,ret,gross_ret,type,cost,days_held
2010-03-09,CBKC,0.15787107307153359,0.1705791680030948,time_exit,74339.99734375,10
2010-03-09,CBK_old,0.1578529776095925,0.1705608739362714,time_exit,74340.08640625,10
2010-03-30,CBKC,-0.06216721105760581,-0.052531413915690606,time_exit,94920.7953125,10
2010-03-30,CBK_old,-0.06217949225723629,-0.052543821298954074,time_exit,94921.18640625,10
2010-04-16,AMED,0.08303506265134963,0.08303506265134963,time_exit,4106945.4600000004,10
2010-04-20,BECN,0.035736869489592316,0.035736869489592316,time_exit,737590.4762500001,10
2010-04-20,CBKC,0.14574861109196657,0.170924684403017,time_exit,134202.37625,10
2010-04-20,CBK_old,0.14574662524556214,0.17092265492067504,time_exit,134203.0534375,10
2010-04-20,IRC,-0.04154874134221276,-0.038140752509155496,time_exit,305584.5725,10
2010-04-20,SKS,0.00851074991217371,0.013169148762223859,time_exit,1271115.9558452314,10
2010-04-23,MFGLQ,-0.015354889820873074,-0.008400684805358494,time_exit,3372860.468868608,10
2010-04-30,CBKC,-0.10882268506649506,-0.09999999999999998,stop_loss,262049.81593749998,8
2010-04-30,CBK_old,-0.10882268506649506,-0.09999999999999998,stop_loss,262051.01375000004,8
2010-05-04,CHBT,-0.09999999999999998,-0.09999999999999998,stop_loss,325581.949375,5
2010-05-05,BECN,0.02905854137867636,0.029058541378676583,time_exit,834640.8562500001,10
2010-05-06,SKS,-0.10000000000000009,-0.09999999999999998,stop_loss,3868449.9000000004,9
2010-05-06,AMED,-0.10346105698706054,-0.10000000000000009,stop_loss,2589460.6531952326,8
2010-05-06,NXGN,-0.10262901185001161,-0.10262901185001161,stop_loss,724917.0625,8
2010-05-06,JNY,-0.09999999999999998,-0.09999999999999998,stop_loss,1165028.1015397399,2
2010-05-06,ROLL,-0.09999999999999998,-0.09999999999999998,stop_loss,312369.169375,2
2010-05-07,BCSI,-0.11229410029784015,-0.09999999999999998,stop_loss,3080900.7600000002,1
2010-05-20,JNY,-0.09999999999999998,-0.09999999999999998,stop_loss,1900554.0947668909,9
2010-05-20,BECN,-0.10000000000000009,-0.10000000000000009,stop_loss,1374642.85,8
2010-05-20,BCSI,-0.10000000000000009,-0.09999999999999998,stop_loss,1045748.9629443638,7
2010-05-20,SKS,-0.10000000000000009,-0.09999999999999998,stop_loss,1068412.253162972,7
2010-05-21,CBKC,-0.09999999999999987,-0.09999999999999998,stop_loss,267020.14437500003,10
2010-05-21,CBK_old,-0.09999999999999987,-0.09999999999999998,stop_loss,267021.493125,10
2010-05-21,COL,-0.12712005096039491,-0.11451459406376063,stop_loss,1840536.5970374101,10
2010-05-21,ROLL,-0.045201374794749616,-0.045201374794749616,time_exit,339380.19500000007,10
